<TICKER>        <NAME>
FCUS.US         PINNACLE FOCUSED OPPORTUNITIES ETF
FCX.US          FREEPORT-MCMORAN
FDAT.US         TACTICAL ADVANTAGE ETF
FDEU.US         FIRST TRUST DYNAMIC EUROPE EQUITY INCOME FUND
FDLS.US         INSPIRE FIDELIS MULTI FACTOR ETF
FDP.US          FRESH DEL MONTE PRODUCE
FDS.US          FACTSET RESEARCH SYSTEMS
FDV.US          FEDERATED HERMES US STRATEGIC DIVIDEND ETF
FDX.US          FEDEX
FE.US           FIRSTENERGY
FEBT.US         ALLIANZIM US LARGE CAP BUFFER10 FEB ETF
FEBW.US         ALLIANZIM US LARGE CAP BUFFER20 FEB ETF
FEDU.US         FOUR SEASONS EDUCATION CAYMAN
FEEM.US         FLEXSHARES ESG & CLIMATE EMERGING MARKETS CORE INDEX FUND
FENG.US         PHOENIX NEW MEDIA
FERG.US         FERGUSON
FET.US          FORUM ENERGY TECHNOLOGIES
FF.US           FUTUREFUEL
FFLS.US         Future Fund Long/Short ETF (Th
FG.US           F&G ANNUITIES & LIFE
FGDL.US         FRANKLIN RESPONSIBLY SOURCED GOLD ETF
FHI.US          FEDERATED HERMES
FHN.US          FIRST HORIZON
FHN_B.US        First Horizon Corp
FHN_C.US        First Horizon Corp
FHN_D.US        First Horizon Corp
FHN_E.US        First Horizon Corp
FHN_F.US        First Horizon Corp
FI.US           FISERV
FIAX.US         NICHOLAS FIXED INCOME ALTERNATIVE ETF
FICO.US         FAIR ISAAC
FIG.US          SIMPLIFY MACRO STRATEGY ETF
FIGS.US         FIGS
FIHL.US         FIDELIS INSURANCE HOLDINGS
FIIG.US         First Trust Intermediate Durat
FINS.US         ANGEL OAK FINANCIAL STRATEGIES INCOME TERM TRUST
FINV.US         FINVOLUTION GROUP
FIS.US          FIDELITY NATIONAL INFORMATION SERVICES
FISK.US         EMPIRE STATE REALTY OP
FIX.US          COMFORT SYSTEMS USA
FL.US           FOOT LOCKER
FLC.US          FLAHERTY & CRUMRINE TR FUND
FLEU.US         FRANKLIN FTSE EUROPE HEDGED ETF
FLME-U.US       FLAME ACQUISITION
FLME-WS.US      FLAME ACQUISITION
FLME.US         FLAME ACQUISITION
FLNG.US         FLEX LNG
FLO.US          FLOWERS FOODS
FLOW.US         GLOBAL X US CASH FLOW KINGS 100 ETF
FLR.US          FLUOR
FLS.US          FLOWSERVE
FLT.US          FLEETCOR TECHNOLOGIES
FLYD.US         MICROSECTORS TRAVEL 3X INVERSE LEVERAGED ETN
FLYU.US         MICROSECTORS TRAVEL 3X LEVERAGED ETN
FMC.US          FMC
FMCX.US         FMC EXCELSIOR FOCUS EQUITY ETF
FMN.US          FEDERATED HERMES PREMIER MUNICIPAL INCOME FUND
FMS.US          FRESENIUS MEDICAL CARE & KGAA
FMX.US          FOMENTO ECONOMICO MEXICANO SAB DE CV
FN.US           FABRINET
FNA.US          PARAGON 28
FNB.US          FNB CORP/PA
FNB_E.US        FNB Corp
FND.US          FLOOR & DECOR HOLDINGS
FNF.US          FIDELITY NATIONAL FINANCIAL
FNV.US          FRANCO-NEVADA
FOA-WS.US       FINANCE OF AMERICA COS
FOA.US          FINANCE OF AMERICA COS
FOF.US          COHEN & STEERS CLOSED-END OPPORTUNITY FUND
FOR.US          FORESTAR GROUP
FORG.US         FORGEROCK
FOUR.US         SHIFT4 PAYMENTS
FPH.US          FIVE POINT HOLDINGS
FPI.US          FARMLAND PARTNERS
FR.US           FIRST INDUSTRIAL REALTY TRUST
FRA.US          BLACKROCK FLOATING RATE INCOME STRATEGIES FUND
FREY-WS.US      FREYR BATTERY
FREY.US         FREYR BATTERY
FRGE.US         FORGE GLOBAL HOLDINGS
FRO.US          FRONTLINE
FRT.US          FEDERAL REALTY INVESTMENT TRUST
FRT_C.US        Federal Realty Investment Trus
FRXB-U.US       FOREST ROAD ACQUISITION II
FRXB-WS.US      FOREST ROAD ACQUISITION II
FRXB.US         FOREST ROAD ACQUISITION II
FSBD.US         FIDELITY SUSTAINABLE CORE PLUS BOND ETF
FSCO.US         FS CREDIT OPPORTUNITIES
FSK.US          FS KKR CAPITAL
FSLD.US         FIDELITY SUSTAINABLE LOW DURATION BOND ETF
FSLY.US         FASTLY
FSM.US          FORTUNA SILVER MINES
FSNB-U.US       FUSION ACQUISITION II
FSNB.US         FUSION ACQUISITION II
FSR.US          FISKER
FSS.US          FEDERAL SIGNAL
FT.US           FRANKLIN UNIVERSAL TRUST
FTBD.US         FIDELITY TACTICAL BOND ETF
FTCH.US         FARFETCH
FTHY.US         FIRST TRUST HIGH YIELD OPPORTUNITIES 2027 TERM FUND
FTI.US          TECHNIPFMC
FTIF.US         FIRST TRUST BLOOMBERG INFLATION SENSITIVE EQUITY ETF
FTK.US          FLOTEK INDUSTRIES
FTS.US          FORTIS INC/CANADA
FTV.US          FORTIVE
FUBO.US         FUBOTV
FUL.US          HB FULLER
FUN.US          CEDAR FAIR
FUSI.US         AMERICAN CENTURY MULTISECTOR FLOATING INCOME ETF
FVRR.US         FIVERR INT
FWD.US          AB DISRUPTORS ETF
FXED.US         SOUND ENHANCED FIXED INCOME ETF
FXLV.US         F45 TRAINING HOLDINGS
FYLG.US         GLOBAL X FINANCIALS COVERED CALL & GROWTH ETF
FZT-U.US        FAST ACQUISITION II
FZT-WS.US       FAST ACQUISITION II
FZT.US          FAST ACQUISITION II
F_B.US          Ford Motor Company
F_C.US          Ford Motor Company
F_D.US          Ford Motor Company
G.US            GENPACT
GAB.US          GABELLI EQUITY TRUST
GABF.US         GABELLI FINANCIAL SERVICES OPPORTUNITIES ETF
GAB_G.US        Gabelli Equity Trust
GAB_H.US        THE Gabelli Equity Trust
GAB_K.US        Gabelli Equity Trust
GAM.US          GENERAL AMERICAN INVESTORS
GAM_B.US        General American Investors Com
GAPR.US         FT CBOE VEST US EQUITY MODERATE BUFFER ETF APRIL
GAQ-U.US        GENERATION ASIA I ACQUISITION
GAQ.US          GENERATION ASIA I ACQUISITION
GATO.US         GATOS SILVER
GATX.US         GATX
GB-WS.US        GLOBAL BLUE GROUP HOLDING
GB.US           GLOBAL BLUE GROUP HOLDING
GBAB.US         GUGGENHEIM TAXABLE MUNICIPAL BOND & INVESTMENT GRADE DEBT TRUST
GBCI.US         GLACIER BANCORP
GBLI.US         GLOBAL INDEMNITY GROUP
GBTG.US         GLOBAL BUSINESS TRAVEL GROUP I
GBX.US          GREENBRIER COS
GCAD.US         GABELLI COMMERCIAL AEROSPACE A
GCI.US          GANNETT
GCO.US          GENESCO
GCV.US          GABELLI CONVERTIBLE AND INCOME SECURITIES FUND
GD.US           GENERAL DYNAMICS
GDDY.US         GODADDY
GDEF.US         GOLDMAN SACHS DEFENSIVE EQUITY ETF
GDIV.US         HARBOR DIVIDEND GROWTH LEADERS ETF
GDL.US          GDL FUND
GDL_C.US        GDL Fund The Series C Cumulati
GDO.US          WESTERN ASSET GLOBAL CORPORATE DEFINED OPPORTUNITY FUND
GDOT.US         GREEN DOT
GDV.US          GABELLI DIVIDEND & INCOME TRUST
GDV_H.US        Gabelli Dividend & Income Trus
GDV_K.US        Gabelli Dividend & Income Trus
GE.US           GENERAL ELECTRIC
GEF-B.US        GREIF
GEF.US          GREIF
GEHI.US         GRAVITAS EDUCATION HOLDINGS
GEL.US          GENESIS ENERGY
GENI.US         GENIUS SPORTS
GEO.US          GEO GROUP
GER.US          GOLDMAN SACHS MLP ENERGY AND RENAISSANCE FUND
GES.US          GUESS?
GETR-WS.US      GETAROUND
GETR.US         GETAROUND
GETY.US         GETTY IMAGES HOLDINGS
GF.US           NEW GERMANY FUND
GFEB.US         FT CBOE VEST US EQUITY MODERATE BUFFER ETF-FEBRUARY
GFF.US          GRIFFON
GFI.US          GOLD FIELDS
GFL.US          GFL ENVIRONMENTAL
GFOR-U.US       GRAF ACQUISITION IV
GFOR-WS.US      GRAF ACQUISITION IV
GFOR.US         GRAF ACQUISITION IV
GFX-U.US        GOLDEN FALCON ACQUISITION
GFX-WS.US       GOLDEN FALCON ACQUISITION
GFX.US          GOLDEN FALCON ACQUISITION
GGB.US          GERDAU
GGG.US          GRACO
GGT.US          GABELLI MULTIMEDIA TRUST
GGT_E.US        Gabelli Multimedia Trust
GGT_G.US        Gabelli Multimedia Trust
GGZ.US          GABELLI GLOBAL SMALL AND MID CAP VALUE TRUST
GHC.US          GRAHAM HOLDINGS
GHG.US          GREENTREE HOSPITALITY GROUP
GHL.US          GREENHILL
GHLD.US         GUILD HOLDINGS
GHM.US          GRAHAM
GHY.US          PGIM GLOBAL HIGH YIELD FUND
GIA.US          GIGCAPITAL5
GIB.US          CGI
GIC.US          GLOBAL INDUSTRIAL
GIL.US          GILDAN ACTIVEWEAR
GIM.US          TEMPLETON GLOBAL INCOME FUND
GIS.US          GENERAL MILLS
GJAN.US         FT CBOE VEST US EQUITY MODERATE BUFFER ETF JANUARY
GJH.US          Synthetic Fixed-Income Sec STR
GJO.US          Synthetic Fixed-Income Securit
GJP.US          Synthetic Fixed Income Securit
GJR.US          Synthetic Fixed Income Securit
GJS.US          Synthetic Fixed-Income Securit
GJT.US          Synthetic Fixed-Income Securit
GJUL.US         FT Cboe Vest US Equity Moderat
GJUN.US         FT CBOE VEST US EQUITY MODERATE BUFFER ETF-JUNE
GKOS.US         GLAUKOS
GL.US           GLOBE LIFE
GLOB.US         GLOBANT
GLOF.US         ISHARES GLOBAL EQUITY FACTOR ETF
GLOG_A.US       GasLog Ltd
GLOP.US         GASLOG PARTNERS
GLOP_A.US       GasLog Partners LP
GLOP_B.US       GasLog Partners LP
GLOP_C.US       GasLog Partners LP
GLP.US          GLOBAL PARTNERS LP/MA
GLP_A.US        Global Partners LP
GLP_B.US        Global Partners LP
GLT.US          GLATFELTER
GLW.US          CORNING
GL_D.US         Globe Life
GM.US           GENERAL MOTORS
GMAR.US         FT CBOE VEST US EQUITY MODERATE BUFFER ETF MARCH
GMAY.US         FT Cboe Vest US Equity Moderat
GME.US          GAMESTOP
GMED.US         GLOBUS MEDICAL
GMRE.US         GLOBAL MEDICAL REIT
GMRE_A.US       Global Medical REIT
GMS.US          GMS
GMUN.US         GOLDMAN SACHS COMMUNITY MUNICIPAL BOND ETF
GNE.US          GENIE ENERGY
GNE_A.US        GENIE ENERGY Ltd
GNK.US          GENCO SHIPPING & TRADING
GNL.US          GLOBAL NET LEASE
GNL_A.US        Global Net Lease
GNL_B.US        Global Net Lease
GNRC.US         GENERAC HOLDINGS
GNT.US          GAMCO NATURAL RESOURCES GOLD & INCOME TRUST
GNTY.US         GUARANTY BANCSHARES INC/TX
GNT_A.US        GAMCO Natural Resources Gold &
GNW.US          GENWORTH FINANCIAL
GOGN-U.US       GOGREEN INVESTMENTS
GOGN.US         GOGREEN INVESTMENTS
GOL.US          GOL LINHAS AEREAS INTELIGENTES
GOLD.US         BARRICK GOLD
GOLF.US         ACUSHNET HOLDINGS
GOOS.US         CANADA GOOSE HOLDINGS
GOOY.US         YIELDMAX GOOGL OPTION INCOME STRATEGY ETF
GOTU.US         GAOTU TECHEDU
GPC.US          GENUINE PARTS
GPI.US          GROUP 1 AUTOMOTIVE
GPJA.US         Georgia Power Company Series 2
GPK.US          GRAPHIC PACKAGING HOLDING
GPMT.US         GRANITE POINT MORTGAGE TRUST
GPMT_A.US       Granite Point Mortgage Trust
GPN.US          GLOBAL PAYMENTS
GPOR.US         GULFPORT ENERGY
GPOW.US         GOLDMAN SACHS NORTH AMERICAN PIPELINES & POWER EQUITY ETF
GPRK.US         GEOPARK
GPS.US          GAP
GRBK.US         GREEN BRICK PARTNERS
GRBK_A.US       Green Brick Partners
GRC.US          GORMAN-RUPP
GRMN.US         GARMIN
GRND-WS.US      GRINDR
GRND.US         GRINDR
GRNT.US         GRANITE RIDGE RESOURCES
GROV.US         GROVE COLLABORATIVE HOLDINGS
GRP-U.US        GRANITE REAL ESTATE INVESTMENT TRUST
GRX.US          GABELLI HEALTHCARE & WELLNESSRX TRUST
GS.US           GOLDMAN SACHS GROUP
GSBD.US         GOLDMAN SACHS BDC
GSK.US          GSK
GSL.US          GLOBAL SHIP LEASE
GSL_B.US        Global Ship Lease
GSQB-U.US       G SQUARED ASCEND II
GSQB.US         G SQUARED ASCEND II
GS_A.US         Goldman Sachs Group
GS_C.US         Goldman Sachs Group Dep Shares
GS_D.US         Goldman Sachs Group
GS_J.US         Goldman Sachs Group
GS_K.US         Goldman Sachs Group
GTES.US         GATES INDUSTRIAL
GTLS.US         CHART INDUSTRIES
GTLS_B.US       Chart Industries
GTN-A.US        GRAY TELEVISION
GTN.US          GRAY TELEVISION
GTY.US          GETTY REALTY
GUG.US          GUGGENHEIM ACTIVE ALLOCATION FUND/DE
GUSA.US         GOLDMAN SACHS MARKETBETA US 1000 EQUITY ETF
GUT.US          GABELLI UTILITY TRUST
GUT_C.US        Gabelli Utility Trust
GVA.US          GRANITE CONSTRUCTION
GVLU.US         GOTHAM 1000 VALUE ETF
GWH-WS.US       ESS TECH
GWH.US          ESS TECH
GWRE.US         GUIDEWIRE SOFTWARE
GWW.US          WW GRAINGER
GXO.US          GXO LOGISTICS
GXUS.US         GOLDMAN SACHS MARKETBETA TOTAL INT EQUITY ETF
H.US            HYATT HOTELS
HAE.US          HAEMONETICS
HAL.US          HALLIBURTON
HAPI.US         HARBOR ETF TRUST HARBOR CORPORATE CULTURE ETF
HAPS.US         HARBOR CORPORATE CULTURE SMALL CAP ETF
HAPY.US         HARBOR ETF TRUST HARBOR CORPORATE CULTURE LEADERS ETF
HARD.US         SIMPLIFY COMMODITIES STRATEGY NO K-1 ETF
HASI.US         HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL
HAYW.US         HAYWARD HOLDINGS
HBB.US          HAMILTON BEACH BRANDS HOLDING
HBI.US          HANESBRANDS
HBM.US          HUDBAY MINERALS
HCA.US          HCA HEALTHCARE
HCC.US          WARRIOR MET COAL
HCI.US          HCI GROUP
HCMT.US         Direxion HCM Tactical Enhanced
HCXY.US         Hercules Capital
HD.US           HOME DEPOT
HDB.US          HDFC BANK
HDUS.US         HARTFORD DISCIPLINED US EQUITY ETF
HE.US           HAWAIIAN ELECTRIC INDUSTRIES
HEAT.US         Touchstone Climate Transition 
HEI-A.US        HEICO
HEI.US          HEICO
HEP.US          HOLLY ENERGY PARTNERS
HEQ.US          JOHN HANCOCK HEDGED EQUITY & INCOME FUND
HES.US          HESS
HESM.US         HESS MIDSTREAM
HF.US           DGA ABSOLUTE RETURN ETF
HFND.US         UNLIMITED HFND MULTI-STRATEGY RETURN TRACKER ETF
HFRO.US         HIGHLAND INCOME FUND
HFRO_A.US       Highland Opportunities and Inc
HGLB.US         HIGHLAND GLOBAL ALLOCATION FUND/CEF
HGTY-WS.US      HAGERTY
HGTY.US         HAGERTY
HGV.US          HILTON GRAND VACATIONS
HHC.US          HOWARD HUGHES
HHLA-U.US       HH&L ACQUISITION
HHLA-WS.US      HH&L ACQUISITION
HHLA.US         HH&L ACQUISITION
HI.US           HILLENBRAND
HIDE.US         ALPHA ARCHITECT HIGH INFLATION AND DEFLATION ETF
HIDV.US         AB US HIGH DIVIDEND ETF
HIG.US          HARTFORD FINANCIAL SERVICES GROUP
HIGH.US         SIMPLIFY ENHANCED INCOME ETF
HIG_G.US        Hartford Financial Services Gr
HII.US          HUNTINGTON INGALLS INDUSTRIES
HIMS.US         HIMS & HERS HEALTH
HIO.US          WESTERN ASSET HIGH INCOME OPPORTUNITY FUND
HIPO-WS.US      HIPPO HOLDINGS
HIPO.US         HIPPO HOLDINGS
HIW.US          HIGHWOODS PROPERTIES
HIX.US          WESTERN ASSET HIGH INCOME FUND II
HIYS.US         INVESCO HIGH YIELD SELECT ETF
HKD.US          AMTD DIGITAL
HL.US           HECLA MINING
HLF.US          HERBALIFE
HLGN-WS.US      HELIOGEN
HLGN.US         HELIOGEN
HLI.US          HOULIHAN LOKEY
HLIO.US         HELIOS TECHNOLOGIES
HLLY-WS.US      HOLLEY
HLLY.US         HOLLEY
HLN.US          HALEON
HLT.US          HILTON WORLDWIDE HOLDINGS
HLX.US          HELIX ENERGY SOLUTIONS GROUP
HL_B.US         Hecla Mining Company Series B 
HMA-U.US        HEARTLAND MEDIA ACQUISITION
HMA-WS.US       HEARTLAND MEDIA ACQUISITION
HMA.US          HEARTLAND MEDIA ACQUISITION
HMC.US          HONDA MOTOR
HMN.US          HORACE MANN EDUCATORS
HMY.US          HARMONY GOLD MINING
HNI.US          HNI
HOG.US          HARLEY-DAVIDSON
HOMB.US         HOME BANCSHARES INC/AR
HOUS.US         ANYWHERE REAL ESTATE
HOV.US          HOVNANIAN ENTERPRISES
HP.US           HELMERICH & PAYNE
HPE.US          HEWLETT PACKARD ENTERPRISE
HPF.US          JOHN HANCOCK PREFERRED INCOME FUND II
HPI.US          JOHN HANCOCK PREFERRED INCOME FUND
HPP.US          HUDSON PACIFIC PROPERTIES
HPP_C.US        Hudson Pacific Properties
HPQ.US          HP
HQH.US          TEKLA HEALTHCARE INVESTORS
HQL.US          TEKLA LIFE SCIENCES INVESTORS
HR.US           HEALTHCARE REALTY TRUST
HRB.US          H&R BLOCK
HRI.US          HERC HOLDINGS
HRL.US          HORMEL FOODS
HRT.US          HIRERIGHT HOLDINGS
HRTG.US         HERITAGE INSURANCE HOLDINGS
HSBC.US         HSBC HOLDINGS
HSC.US          HARSCO
HSHP.US         HIMALAYA SHIPPING
HSY.US          HERSHEY
HT.US           HERSHA HOSPITALITY TRUST
HTD.US          JOHN HANCOCK TAX-ADVANTAGED DIVIDEND INCOME FUND
HTFB.US         Horizon Technology Finance Cor
HTFC.US         Horizon Technology Finance Cor
HTGC.US         HERCULES CAPITAL
HTH.US          HILLTOP HOLDINGS
HTY.US          JOHN HANCOCK TAX-ADVANTAGED GLOBAL SHAREHOLDER YIELD FUND
HT_C.US         HERSHA HOSPITALITY TRUST
HT_D.US         Hersha Hospitality Trust
HT_E.US         Hersha Hospitality Trust
HUBB.US         HUBBELL
HUBS.US         HUBSPOT
HUM.US          HUMANA
HUN.US          HUNTSMAN
HUYA.US         HUYA
HVT-A.US        HAVERTY FURNITURE COS
HVT.US          HAVERTY FURNITURE COS
HWKZ-U.US       HAWKS ACQUISITION
HWKZ.US         HAWKS ACQUISITION
HWM.US          HOWMET AEROSPACE
HXL.US          HEXCEL
HY.US           HYSTER-YALE MATERIALS HANDLING
HYAC-U.US       HAYMAKER ACQUISITION 4
HYB.US          NEW AMERICA HIGH INCOME FUND
HYFI.US         AB HIGH YIELD ETF
HYGI.US         ISHARES INFLATION HEDGED HIGH YIELD BOND ETF
HYGW.US         ISHARES HIGH YIELD CORPORATE BOND BUYWRITE STRATEGY ETF
HYI.US          WESTERN ASSET HIGH YIELD DEFINED OPPORTUNITY FUND
HYLG.US         GLOBAL X HEALTH CARE COVERED CALL & GROWTH ETF
HYLN.US         HYLIION HOLDINGS
HYT.US          BLACKROCK CORPORATE HIGH YIELD FUND
HZO.US          MARINEMAX
IAE.US          VOYA ASIA PACIFIC HIGH DIVIDEND EQUITY INCOME FUND
IAG.US          IAMGOLD
IBDX.US         ISHARES IBONDS DEC 2032 TERM CORPORATE ETF
IBDY.US         iShares iBonds Dec 2033 Term C
IBHH.US         ISHARES IBONDS 2028 TERM HIGH YIELD AND INCOME ETF
IBHI.US         ISHARES IBONDS 2029 TERM HIGH YIELD AND INCOME ETF
IBHJ.US         ISHARES IBONDS 2030 TERM HIGH YIELD AND INCOME ETF
IBLC.US         ISHARES BLOCKCHAIN AND TECH ETF
IBM.US          INT BUSINESS MACHINES
IBMR.US         ISHARES IBONDS DEC 2029 TERM MUNI BOND ETF
IBN.US          ICICI BANK
IBP.US          INSTALLED BUILDING PRODUCTS
IBRN.US         ISHARES NEUROSCIENCE AND HEALTHCARE ETF
ICD.US          INDEPENDENCE CONTRACT DRILLING
ICE.US          INTERCONTINENTAL EXCHANGE
ICL.US          ICL GROUP
ICLO.US         INVESCO AAA CLO FLOATING RATE NOTE ETF
ICNC-U.US       ICONIC SPORTS ACQUISITION
ICNC-WS.US      ICONIC SPORTS ACQUISITION
ICNC.US         ICONIC SPORTS ACQUISITION
ICR_A.US        InPoint Commercial Real Estate
IDA.US          IDACORP
IDE.US          VOYA INFRASTRUCTURE INDUSTRIALS AND MATERIALS FUND
IDT.US          IDT
IDUB.US         APTUS INT ENHANCED YIELD ETF
IDVO.US         AMPLIFY INT ENHANCED DIVIDEND INCOME ETF
IEX.US          IDEX
IFF.US          INT FLAVORS & FRAGRANCES
IFIN-U.US       INFINT ACQUISITION
IFIN-WS.US      INFINT ACQUISITION
IFIN.US         INFINT ACQUISITION
IFN.US          INDIA FUND
IFS.US          INTERCORP FINANCIAL SERVICES
IGA.US          VOYA GLOBAL ADVANTAGE AND PREMIUM OPPORTUNITY FUND
IGD.US          VOYA GLOBAL EQUITY DIVIDEND AND PREMIUM OPPORTUNITY FUND
IGI.US          WESTERN ASSET INVESTMENT GRADE DEFINED OPPORTUNITY TRUST
IGR.US          CBRE GLOBAL REAL ESTATE INCOME FUND
IGT.US          INT GAME TECHNOLOGY
IGTR.US         INNOVATOR GRADIENT TACTICAL ROTATION STRATEGY ETF
IH.US           IHUMAN
IHD.US          VOYA EMERGING MARKETS HIGH DIVIDEND EQUITY FUND
IHG.US          INTERCONTINENTAL HOTELS GROUP
IHIT.US         INVESCO HIGH INCOME 2023 TARGET TERM FUND
IHS.US          IHS HOLDING
IHTA.US         INVESCO HIGH INCOME 2024 TARGET TERM FUND
IIF.US          MORGAN STANLEY INDIA INVESTMENT FUND
IIIN.US         INSTEEL INDUSTRIES
IIM.US          INVESCO VALUE MUNICIPAL INCOME TRUST
IIPR.US         INNOVATIVE INDUSTRIAL PROPERTIES
IIPR_A.US       Innovative Industrial Properti
IIVI.US         Coherent Corp
IMAX.US         IMAX
IMSI.US         INVESCO MUNICIPAL STRATEGIC INCOME ETF
INAQ-U.US       INSIGHT ACQUISITION CORP/DE
INC.US          VANECK DYNAMIC HIGH INCOME ETF
INCM.US         Franklin Income Focus ETF
INFA.US         INFORMATICA
INFY.US         INFOSYS
ING.US          ING GROEP
INGR.US         INGREDION
INN.US          SUMMIT HOTEL PROPERTIES
INN_E.US        Summit Hotel Properties
INN_F.US        Summit Hotel Properties
INQQ.US         INQQ THE INDIA INTERNET & ECOMMERCE ETF
INSI.US         INSIGHT SELECT INCOME FUND
INSP.US         INSPIRE MEDICAL SYSTEMS
INST.US         INSTRUCTURE HOLDINGS
INSW.US         INT SEAWAYS
INT.US          WORLD FUEL SERVICES
INTL.US         MAIN INT ETF
INVH.US         INVITATION HOMES
ION.US          PROSHARES S&P GLOBAL CORE BATTERY METALS ETF
IONQ-WS.US      IONQ
IONQ.US         IONQ
IOT.US          SAMSARA
IP.US           INT PAPER
IPG.US          INTERPUBLIC GROUP OF COS
IPI.US          INTREPID POTASH
IPVF-WS.US      INTERPRIVATE III FINANCIAL PARTNERS
IQHI.US         IQ MACKAY ESG HIGH INCOME ETF
IQI.US          INVESCO QUALITY MUNICIPAL INCOME TRUST
IQRA.US         IQ CBRE Real Assets ETF
IQSM.US         IQ CANDRIAM ESG US MID CAP EQUITY ETF
IQV.US          IQVIA HOLDINGS
IR.US           INGERSOLL RAND
IRM.US          IRON MOUNTAIN
IRNT-WS.US      IRONNET
IRNT.US         IRONNET
IRRX-U.US       INTEGRATED RAIL AND RESOURCES ACQUISITION
IRRX-WS.US      INTEGRATED RAIL AND RESOURCES ACQUISITION
IRRX.US         INTEGRATED RAIL AND RESOURCES ACQUISITION
IRS-WS.US       IRSA INVERSIONES Y REPRESENTACIONES
IRS.US          IRSA INVERSIONES Y REPRESENTACIONES
IRT.US          INDEPENDENCE REALTY TRUST
IRVH.US         GLOBAL X INTEREST RATE VOLATILITY & INFLATION HEDGE ETF
ISD.US          PGIM HIGH YIELD BOND FUND
ISDB.US         INVESCO SHORT DURATION BOND ETF
IT.US           GARTNER
ITCL.US         BANCO ITAU CHILE
ITGR.US         INTEGER HOLDINGS
ITT.US          ITT
ITUB.US         ITAU UNIBANCO HOLDING
ITW.US          ILLINOIS TOOL WORKS
IVR.US          INVESCO MORTGAGE CAPITAL
IVRS.US         ISHARES FUTURE METAVERSE TECH AND COMMUNICATIONS ETF
IVR_B.US        Invesco Mortgage Capital
IVR_C.US        Invesco Mortgage Capital
IVT.US          INVENTRUST PROPERTIES
IVVB.US         ISHARES LARGE CAP DEEP BUFFER ETF
IVVM.US         ISHARES LARGE CAP MODERATE BUFFER ETF
IVZ.US          INVESCO
IWFG.US         IQ WINSLOW FOCUSED LARGE CAP GROWTH ETF
IWLG.US         IQ WINSLOW LARGE CAP GROWTH ETF
IX.US           ORIX
J.US            JACOBS SOLUTIONS
JANT.US         ALLIANZIM US LARGE CAP BUFFER10 JAN ETF
JANW.US         ALLIANZIM US LARGE CAP BUFFER20 JAN ETF
JBGS.US         JBG SMITH PROPERTIES
JBI.US          JANUS INT GROUP
JBK.US          Lehman ABS Corp
JBL.US          JABIL
JBT.US          JOHN BEAN TECHNOLOGIES
JCE.US          NUVEEN CORE EQUITY ALPHA FUND
JCHI.US         JPMORGAN ACTIVE CHINA ETF
JCI.US          JOHNSON CONTROLS INT
JEF.US          JEFFERIES FINANCIAL GROUP
JELD.US         JELD-WEN HOLDING
JEQ.US          ABRDN JAPAN EQUITY FUND
JETD.US         MAX Airlines -3x Inverse Lever
JETU.US         MAX Airlines 3x Leveraged ETN
JFR.US          NUVEEN FLOATING RATE INCOME FUND/CLOSED-END FUND
JGH.US          NUVEEN GLOBAL HIGH INCOME FUND
JGRO.US         JPMORGAN ACTIVE GROWTH ETF
JHAA.US         NUVEEN CORPORATE INCOME 2023 TARGET TERM FUND
JHDV.US         JOHN HANCOCK US HIGH DIVIDEND ETF
JHG.US          JANUS HENDERSON GROUP
JHI.US          JOHN HANCOCK INVESTORS TRUST
JHID.US         JOHN HANCOCK INT HIGH DIVIDEND ETF
JHS.US          JOHN HANCOCK INCOME SECURITIES TRUST
JHX.US          JAMES HARDIE INDUSTRIES
JILL.US         J JILL
JIRE.US         JPMORGAN INT RESEARCH ENHANCED EQUITY ETF
JKS.US          JINKOSOLAR HOLDING
JLL.US          JONES LANG LASALLE
JLS.US          NUVEEN MORTGAGE AND INCOME FUND
JMEE.US         JPMORGAN MARKET EXPANSION ENHANCED EQUITY ETF
JMHI.US         JPMORGAN HIGH YIELD MUNICIPAL ETF
JMIA.US         JUMIA TECHNOLOGIES
JMM.US          NUVEEN MULTI-MARKET INCOME FUND
JMSI.US         JPMORGAN SUSTAINABLE MUNICIPAL INCOME ETF
JNJ.US          JOHNSON & JOHNSON
JNPR.US         JUNIPER NETWORKS
JOBY-WS.US      JOBY AVIATION
JOBY.US         JOBY AVIATION
JOE.US          ST JOE
JOF.US          JAPAN SMALLER CAPITALIZATION FUND
JPC.US          NUVEEN PREFERRED & INCOME OPPORTUNITIES FUND
JPLD.US         JPMORGAN DURATION BOND ETF
JPM.US          JPMORGAN CHASE
JPM_C.US        JPMorgan Chase & Co
JPM_D.US        JPMorgan Chase & Co
JPM_J.US        JPMorgan Chase & Co
JPM_K.US        JPMorgan Chase & Co
JPM_L.US        JPMorgan Chase & Co
JPM_M.US        JPMorgan Chase & Co
JPRE.US         JPMORGAN REALTY INCOME ETF
JPS.US          NUVEEN PREFERRED & INCOME SECURITIES FUND
JPSV.US         JPMORGAN ACTIVE SMALL CAP VALUE ETF
JPT.US          NUVEEN PREFERRED AND INCOME FUND
JQC.US          NUVEEN CREDIT STRATEGIES INCOME FUND
JRI.US          NUVEEN REAL ASSET INCOME AND GROWTH FUND
JRO.US          NUVEEN FLOATING RATE INCOME OPPORTUNITY FUND
JRS.US          NUVEEN REAL ESTATE INCOME FUND
